TargetTS4_35-100-LFJ-R.body,LFJ-R
TargetTS4_35-100-LFJ-G.body,LFJ-G
TargetTS4_35-100-LFJ-B.body,LFJ-B
TargetTS4_35-100-LFJ-W.body,LFJ-W
TargetTS4_35-100-LFC-R.body,LFC-R
TargetTS4_35-100-LFC-G.body,LFC-G
TargetTS4_35-100-LFC-B.body,LFC-B
TargetTS4_35-100-LFC-W.body,LFC-W
TargetTS4_35-100-RFJ-R.body,RFJ-R
TargetTS4_35-100-RFJ-G.body,RFJ-G
TargetTS4_35-100-RFJ-B.body,RFJ-B
TargetTS4_35-100-RFJ-W.body,RFJ-W
TargetTS4_35-100-RFC-R.body,RFC-R
TargetTS4_35-100-RFC-G.body,RFC-G
TargetTS4_35-100-RFC-B.body,RFC-B
TargetTS4_35-100-RFC-W.body,RFC-W
TargetTS4_35-100-RBJ-R.body,RBJ-R
TargetTS4_35-100-RBJ-G.body,RBJ-G
TargetTS4_35-100-RBJ-B.body,RBJ-B
TargetTS4_35-100-RBJ-W.body,RBJ-W
TargetTS4_35-100-RBC-R.body,RBC-R
TargetTS4_35-100-RBC-G.body,RBC-G
TargetTS4_35-100-RBC-B.body,RBC-B
TargetTS4_35-100-RBC-W.body,RBC-W
TargetTS4_35-100-LBJ-R.body,LBJ-R
TargetTS4_35-100-LBJ-G.body,LBJ-G
TargetTS4_35-100-LBJ-B.body,LBJ-B
TargetTS4_35-100-LBJ-W.body,LBJ-W
TargetTS4_35-100-LBC-R.body,LBC-R
TargetTS4_35-100-LBC-G.body,LBC-G
TargetTS4_35-100-LBC-B.body,LBC-B
TargetTS4_35-100-LBC-W.body,LBC-W
