QR-VCenter.png,VCenter,,,,,,,
QR-VLeft.png,VLeft,,,,,,,
QR-VRight.png,VRight,,,,,,,
QR5.png,Target,,,,,,,
QRT6.png,T6Inside,,,,,,,
QRTS1_1.png,T2First,,,,,,,
QRTS1_10.png,T2X,,,,,,,
QRTS1_2.png,T2Second,,,,,,,
QRTS1_3.png,T2Third,,,,,,,
QRTS1_4.png,T2Fourth,,,,,,,
QRTS1_5.png,T2Fifth,,,,,,,
QRTS1_6.png,T2Sixth,,,,,,,
QRTS1_7.png,T2Seventh,,,,,,,
QRTS1_8.png,T2Eigth,,,,,,,
QRTS1_9.png,T2Ninth,,,,,,,
QRTS1.png,T2practice,,,,,,,
QRTS4-LBC-B.png,rjvehW,,r,j,v,e,h,
QRTS4-LBC-G.png,mwlwjW,,m,w,l,w,j,
QRTS4-LBC-R.png,rxdzlW,,r,x,d,z,l,
QRTS4-LBC-W.png,dkinzW,,d,k,i,n,z,
QRTS4-LBJ-B.png,sjgcdW,,s,j,g,c,d,
QRTS4-LBJ-G.png,muwprW,,m,u,w,p,r,
QRTS4-LBJ-R.png,kkhvlW,,k,k,h,v,l,
QRTS4-LBJ-W.png,pgnrmW,,p,g,n,r,m,
QRTS4-LFC-B.png,ngrjmW,,n,g,r,j,m,
QRTS4-LFC-G.png,yrooeW,,y,r,o,o,e,
QRTS4-LFC-R.png,jixfxW,,j,i,x,f,x,
QRTS4-LFC-W.png,thqrxW,,t,h,q,r,x,
QRTS4-LFJ-B.png,xrhdjW,,x,r,h,d,j,
QRTS4-LFJ-G.png,oqkftW,,o,q,k,f,t,
QRTS4-LFJ-R.png,ibwqvW,,i,b,w,q,v,
QRTS4-LFJ-W.png,rmljwW,,r,m,l,j,w,
QRTS4-RBC-B.png,qluwhW,,q,l,u,w,h,
QRTS4-RBC-G.png,onisjW,,o,n,i,s,j,
QRTS4-RBC-R.png,nshoxW,,n,s,h,o,x,
QRTS4-RBC-W.png,ckyvgW,,c,k,y,v,g,
QRTS4-RBJ-B.png,lyivzW,,l,y,i,v,z,
QRTS4-RBJ-G.png,kjgxlW,,k,j,g,x,l,
QRTS4-RBJ-R.png,rswbvW,,r,s,w,b,v,
QRTS4-RBJ-W.png,lhecqW,,l,h,e,c,q,
QRTS4-RFC-B.png,xykvpW,,x,y,k,v,p,
QRTS4-RFC-G.png,tselaW,,t,s,e,l,a,
QRTS4-RFC-R.png,batubW,,b,a,t,u,b,
